word,log_odds_ratio
hospitalized,-0.24288
hospitals,-0.34734
host,-0.11198
hot,0.01406
hour,-0.12653
hours,-0.15774
house,0.07681
houston,-0.19189
howard,-0.54484
however,-0.25209
huge,-0.17515
human,-0.08594
humans,0.00315
hundred,-0.59095
hundreds,-0.69
hungary,-0.10114
hurt,-0.12125
husband,-0.26812
hypertension,0.11193
hypothesis,-0.63271
ibuprofen,-0.59095
iceland,-0.10114
idea,-0.18031
ideal,0.08567
ideally,-0.73852
identified,-0.21748
identify,0.25814
identifying,0.08182
ii,0.11193
iii,-0.59095
ill,-0.22701
illinois,-0.54484
illness,0.01412
illnesses,0.05343
image,-0.22585
images,0.11543
imagine,-0.40402
imaging,-0.13021
immediate,-0.69237
immediately,-0.52631
immune,-0.09844
immunology,0.15784
immunotherapy,0.11278
impact,-0.17154
impacts,-0.19137
impaired,0.06997
impairment,-0.02229
implant,-0.1924
implanted,-0.22893
implants,-0.289
implications,-0.21909
importance,-0.17459
important,-0.24351
importantly,0.06997
impossible,-0.43657
impressed,-0.54484
impressive,-0.1924
improve,-0.07146
improved,-0.20683
improvement,-0.18815
improvements,0.00827
improves,0.3024
improving,0.09805
inc,-0.10857
incidence,-0.14644
incision,0.483
include,-0.28919
included,-0.07542
includes,-0.29344
including,-0.16365
inconsistent,-0.19137
incontinence,0.28946
increase,-0.2051
increased,-0.05735
increases,-0.23451
increasing,-0.34191
increasingly,-0.05337
incredibly,-0.06602
indeed,-0.34496
independent,-0.38726
index,-0.41662
india,-0.19292
indicate,-0.15493
indicated,-0.0033
indicates,-0.70598
indication,0.23795
individual,-0.24469
individuals,-0.006
indonesia,-0.10114
induce,-0.63271
induced,-0.19137
industry,-0.16573
ineffective,0.23795
inexpensive,-0.10114
infant,-0.571
infants,-0.26812
infected,0.11172
infection,-0.10071
infections,-0.13642
infectious,-0.43657
infertility,0.11151
inflammation,-0.0679
inflammatory,-0.07878
influence,-0.38726
influenced,-0.19189
inform,0.04399
information,-0.12786
informed,-0.0033
infusion,-0.46689
ingredient,-0.16401
ingredients,-0.289
inherited,-0.33075
inhibitor,-0.13369
inhibitors,-0.22466
initial,-0.23891
initially,-0.58127
initiative,-0.49528
inject,0.04399
injectable,-0.54484
injected,-0.10213
injecting,0.11151
injection,-0.37265
injections,-0.37392
injured,-0.33075
injuries,-0.45874
injury,-0.40979
innovation,0.04399
innovative,0.20935
inserted,0.00155
inside,-0.08044
insomnia,-0.82393
instance,-0.29165
instead,-0.2063
institute,-0.26329
institutes,-0.10313
insulin,-0.19344
insurance,-0.21294
insurers,-0.53275
intake,-0.66513
intended,-0.29076
intense,-0.59364
intensity,0.11214
intensive,-0.38949
interaction,0.335
interest,-0.05004
interested,-0.30904
interesting,0.01406
interfere,-0.01436
internal,-0.37778
international,-0.0679
internist,-0.06587
intervals,-0.54484
intervention,-0.09148
interventional,-0.24288
interventions,-0.14365
interview,-0.14833
intestinal,0.04399
intestine,0.16986
intravenous,-0.22701
intriguing,-0.11198
introduction,-0.01436
invasive,0.14849
investigate,0.01388
investigated,-0.40402
investigation,-0.16401
investigator,-0.10213
investigators,-0.40688
investors,-0.19137
involve,-0.10213
involved,-0.30826
involves,0.14502
involving,-0.21924
iran,-0.13369
iraq,-0.06617
ireland,-0.09456
irregular,0.19183
irritable,0.49466
irritation,-0.01436
island,-0.35255
islands,-0.10114
isn,-0.25759
israel,-0.11364
issue,-0.32755
issued,-0.37014
issues,-0.18118
italian,0.23717
italy,0.07067
iv,-0.43657
ivoire,-0.10114
j,-0.59095
jack,-0.289
jama,-0.66202
jamahiriya,-0.10114
jamaica,-0.10114
james,-0.06633
jan,-0.06679
jane,0.23717
january,0.03215
japan,0.014
javascript,-0.25955
jay,0.41454
jeffrey,-0.28988
jennifer,-0.16401
jersey,0.03182
job,-0.26185
john,-0.28298
johns,-0.26715
johnson,0.19183
join,-0.289
joined,-0.11198
joint,0.13357
joints,0.23717
jordan,0.01394
joseph,-0.571
journal,-0.19412
journals,0.23717
judgment,-0.24288
july,-0.4554
jump,0.41512
june,-0.28048
kazakhstan,-0.13369
keep,-0.15415
keeping,-0.23927
keeps,-0.82393
keith,0.16986
kenya,-0.10114
kept,-0.22893
kettering,-0.28988
kevin,-0.54484
key,-0.13999
keytruda,0.49466
kick,-0.19137
kid,-0.63271
kidney,-0.45403
kidneys,0.04399
kids,-0.12558
kill,-0.03922
killed,-0.25955
killing,-0.09456
kills,0.02674
kim,-0.63271
kind,-0.20715
kinds,-0.27745
king,-0.02787
kingdom,-0.29254
kiribati,-0.10114
kitts,-0.10114
knee,0.16445
knees,0.41454
knew,-0.15613
know,-0.22034
knowing,-0.35255
knowledge,-0.43657
known,-0.20053
knows,-0.61519
kong,-0.06617
korea,-0.09456
kuwait,-0.10114
kyrgyzstan,-0.10114
lab,-0.21371
label,-0.02229
labor,-0.59095
laboratory,-0.14365
labs,0.04399
lack,-0.04382
lancet,-0.02009
landmark,-0.63271
langone,-0.39399
language,-0.15374
lanka,-0.10114
laos,-0.10114
large,-0.31168
largely,-0.17781
larger,-0.06972
largest,0.37986
laser,0.41454
last,-0.34443
lasted,0.07681
lasting,-0.47825
lasts,-0.09456
late,-0.06088
later,-0.17373
latest,-0.22493
latimes,-0.59095
latmelissahealy,-0.70598
latter,-0.59095
latvia,-0.10114
launched,0.05343
laura,-0.63271
laws,-0.54484
ldl,0.06997
lead,-0.15972
leader,-0.29165
leading,-0.22865
leads,-0.29165
learn,-0.30557
learned,-0.04779
learning,0.09123
least,-0.21927
leave,-0.12277
leaves,-0.0033
leaving,-0.82393
lebanon,-0.06617
led,-0.24486
lee,-0.24288
left,-0.29989
leg,0.03182
legal,-0.59095
legs,0.02674
length,-0.24428
lenox,-0.29165
leone,0.01394
lesions,0.25571
lesotho,-0.10114
less,-0.22843
leste,-0.10114
let,-0.24225
lets,-0.54484
leukemia,-0.25955
level,-0.00238
levels,-0.02671
liberia,-0.16401
library,-0.40402
libyan,-0.10114
licensed,-0.76885
liechtenstein,-0.10114
life,-0.13726
lifelong,0.28946
lifestyle,-0.15736
lifetime,-0.26812
lift,-0.289
light,-0.15141
like,-0.12878
likelihood,-0.11281
likely,-0.14063
limit,-0.02787
limitation,-0.49528
limitations,-0.42847
limited,-0.02055
limiting,0.06997
limits,-0.01436
line,-0.15027
lining,0.06
link,-0.16432
linked,-0.01724
links,-0.289
liquid,-0.03585
list,-0.3213
literature,-0.67085
lithuania,-0.10114
little,-0.25757
live,-0.1625
liver,0.18131
lives,-0.11645
living,-0.23451
ll,-0.45388
loading,-0.31827
local,-0.06648
location,-0.11198
london,0.25868
long,-0.28716
longer,-0.22664
longest,-0.01436
longevity,-0.02787
look,-0.23477
looked,-0.17487
looking,-0.22336
looks,-0.45403
los,-0.46402
lose,-0.23843
losing,-0.79724
loss,-0.12411
lost,-0.49286
lot,-0.30542
lots,-0.25471
louis,-0.46689
love,-0.21447
loved,-0.289
low,-0.19858
lower,-0.25493
lowered,-0.25471
lowering,-0.34196
lowers,-0.59095
lowest,-0.34496
lucia,-0.10114
lucky,0.2677
lung,0.02216
lungs,-1.06024
luxembourg,-0.0033
ly,-0.49925
lymphoma,0.03182
m,-0.43657
macao,-0.10114
macedonia,-0.10114
machine,-0.06602
madagascar,-0.10114
made,-0.20428
magic,-0.28988
magnetic,0.23795
magnitude,0.11151
main,-0.18837
mainly,-0.22701
maintain,-0.16573
maintained,-0.19137
maintaining,-0.289
maintenance,0.04399
major,-0.15649
majority,-0.06726
make,-0.13413
maker,-0.47841
makers,-0.22701
makes,-0.11369
making,-0.20906
malawi,-0.13369
malaysia,-0.13369
maldives,-0.10114
male,-0.39399
mali,-0.10114
malignancy,0.23717
malignant,0.2677
malta,-0.10114
malvinas,-0.10114
man,-0.18034
manage,0.20801
managed,-0.40402
management,-0.34196
manager,-0.19137
managing,-0.02787
manufacturer,-0.43657
manufacturers,-0.59095
many,-0.31193
march,-0.17254
maria,-0.289
mariana,-0.10114
marijuana,-0.15374
marino,-0.0033
mark,-0.03625
marked,0.04399
marker,0.41569
markers,0.16445
market,-0.18186
marketed,-0.21909
marketing,-0.17459
marks,0.35734
marrow,-0.46689
marshall,-0.03585
martinique,-0.10114
mary,-0.40402
mass,-0.34734
massachusetts,-0.35327
massive,-0.54484
match,0.16986
matched,-0.19137
material,-0.52197
materials,0.16986
matter,-0.06695
matthew,0.11151
mauritania,-0.10114
mauritius,-0.10114
maximum,-0.19137
may,-0.20032
maybe,-0.08044
mayen,-0.10114
mayo,-0.35756
mayotte,-0.10114
md,-0.22893
meal,-0.06587
meals,-0.43657
mean,-0.04726
meaning,-0.07953
meaningful,0.07681
means,-0.26565
meant,-0.15064
meantime,0.06997
meanwhile,-0.43818
measure,-0.30529
measured,-0.08155
measures,-0.36064
measuring,-0.16401
meat,0.06997
mechanism,-0.33288
mechanisms,-0.10114
media,-0.06617
median,-0.06633
medical,-0.23736
medicare,-0.81586
medication,-0.07568
medications,-0.2483
medicinal,-0.19189
medicine,-0.16679
medicines,-0.14186
meditation,0.04399
mediterranean,0.04399
meet,-0.571
meeting,-0.20162
meetings,-0.19344
melanoma,-0.12556
melbourne,-0.06587
melissa,-0.289
member,-0.29165
members,-0.29165
memorial,-0.17028
memories,-0.33075
memory,-0.023
men,-0.22865
menopausal,0.01388
menopause,0.04454
menstrual,0.03182
mental,-0.27552
merck,0.31219
message,-0.4851
messages,-0.59095
met,0.15512
meta,-0.43657
metabolic,-0.24569
metabolism,-0.39399
metastatic,0.11172
method,0.11498
methods,0.05805
mexico,-0.21447
mg,0.14075
miami,-0.19137
mice,-0.14833
michael,-0.14833
michigan,-0.19189
microbes,0.16986
micronesia,-0.10114
mid,0.08567
middle,-0.14833
might,-0.32294
migraine,0.15008
migraines,0.52671
mike,0.16986
mild,-0.16681
miles,0.15008
milk,-0.52197
milligrams,-0.24428
million,-0.0382
millions,-0.02264
mind,0.04152
minimal,0.08567
minimally,-0.0033
minn,-0.54484
minnesota,-0.73852
minor,-0.22701
minute,0.02921
minutes,-0.20162
miquelon,-0.10114
miracle,-0.11198
miserable,0.335
miss,-0.46689
missed,-0.289
missing,-0.24428
mitchell,-0.54484
mix,-0.70598
mixed,-0.14365
mobile,0.41454
mobility,-0.11198
model,-0.11281
models,-0.06617
moderate,-0.10678
moderately,-0.19137
modern,-0.3689
modest,-0.63576
modified,-0.19189
moldova,-0.10114
molecular,-0.06648
molecule,-0.28988
molecules,-0.09456
mom,-0.06602
moment,-0.04493
monaco,-0.10114
monday,-0.14661
money,-0.35756
mongolia,-0.10114
monitor,0.11278
monitored,-0.08705
monitoring,0.32898
monitors,-0.01436
montenegro,-0.10114
month,-0.24339
monthly,-0.21909
months,-0.10846
montserrat,-0.10114
mood,-0.18242
morning,0.06491
morocco,-0.10114
mortality,-0.4554
mostly,-0.34836
mother,0.00827
mothers,-0.45874
motion,0.16986
motivated,-0.19137
motivation,-0.59095
motor,-0.49528
mount,-0.39399
mouse,0.36476
mouth,-0.23504
move,-0.18712
moved,0.17107
movement,-0.30904
movements,-0.10114
moving,0.03899
mozambique,-0.10114
mr,-0.11281
mri,0.13542
ms,-0.24569
much,-0.18528
multi,0.59192
multiple,-0.18279
muscle,-0.24225
muscles,-0.05004
must,-0.34167
mutation,-0.09017
mutations,-0.10213
myanmar,-0.10114
myers,0.28946
nam,-0.10114
name,-0.25384
named,-0.06602
names,-0.59095
namibia,-0.10114
narrow,0.16986
nasal,0.30583
nation,-0.33075
national,-0.2307
nationwide,-0.67085
natural,-0.07723
naturally,-0.49726
nature,0.01412
nauru,-0.10114
nausea,-0.29254
near,0.21649
nearby,-0.59095
nearly,-0.29752
necessarily,-0.27355
necessary,-0.12825
neck,0.13542
need,-0.169
needed,-0.0882
needle,-0.3689
needles,-0.24288
needs,-0.13926
negative,0.07138
neither,-0.29076
nepal,-0.13369
nerve,-0.17254
nerves,-0.06617
nervous,-0.03585
netherlands,-0.00755
network,-0.31827
neural,-0.33075
neurodegenerative,0.335
neurological,-0.03922
neurologist,-0.29165
neurologists,-0.33075
neurology,-0.19502
neurons,-0.15374
neuroscience,0.29083
never,-0.22865
nevis,-0.10114
new,-0.13697
newborn,-0.24288
newborns,-0.54484
newer,-0.22893
newly,0.08873
news,-0.06715
newsletter,-0.22893
newsletters,-0.35756
newsweek,-0.16401
next,-0.17285
nicaragua,-0.10114
nice,0.08182
niger,-0.10114
nigeria,-0.0033
night,-0.07766
nih,-0.3689
nine,-0.13021
niue,-0.10114
non,0.01482
none,-0.21614
noninvasive,-0.19189
nonprofit,-0.37014
norfolk,-0.10114
normal,-0.09564
normally,-0.15064
north,0.02107
northern,0.1723
northwestern,-0.06602
norway,-0.33288
nose,0.06
note,-0.35327
noted,-0.2133
notes,-0.30715
nothing,-0.30514
noticed,0.25571
noting,-0.24428
nov,-0.43657
novartis,0.11193
novel,-0.02812
november,-0.04114
npr,-0.1924
number,-0.17862
numbers,-0.23536
numerous,-0.06587
nurse,-0.37139
nurses,-0.23504
nursing,-0.11198
nutrient,-0.3689
nutrients,-0.10114
nutrition,-0.09865
nutritional,-0.25955
nuts,-0.03585
nyu,-0.37014
obese,-0.38619
obesity,-0.20665
objective,-0.67085
observational,-0.571
observed,-0.19292
obstetrician,-0.19137
obstetricians,-0.52197
obstetrics,0.11193
obtained,-0.16401
obvious,-0.21909
occupied,-0.13369
occur,0.04047
occurred,-0.26812
occurs,0.05639
oct,0.21796
october,0.06097
odds,-0.72652
offer,-0.14916
offered,-0.38726
offering,0.01412
offers,-0.27161
office,-0.11449
officer,-0.21614
offices,-0.54484
often,-0.17941
oh,0.01388
ohio,0.01394
oil,-0.70976
oils,-0.43657
ok,-0.87296
ol,-0.14177
old,-0.04228
older,-0.13739
olive,-0.59095
oman,-0.10114
omega,-0.25955
oncologist,-0.65543
oncology,-0.18712
one,-0.19551
ones,-0.2777
ongoing,-0.23927
online,-0.44036
onset,-0.34496
onto,-0.03585
opdivo,0.41454
open,-0.12165
opened,-0.33075
opening,-0.289
operating,0.11172
operation,0.14075
operations,0.20935
opinion,-0.54484
opioid,-0.49528
opioids,-0.3689
opportunity,0.04454
opposed,-0.33075
opposite,-0.01436
opt,-0.82393
optimal,0.335
optimistic,-0.10114
option,-0.27552
options,-0.1122
oral,-0.11364
orally,0.04399
orange,-0.54484
order,-0.13573
ordered,-0.63271
org,-0.19189
organ,-0.0033
organization,-0.20822
organizations,-0.06587
organs,-0.19292
original,-0.12125
originally,-0.63271
orthopedic,-0.10114
osteoarthritis,0.06
osteoporosis,-0.31827
others,-0.25072
otherwise,0.05639
ounces,-0.289
outcome,-0.15064
outcomes,-0.21272
outpatient,-0.06587
outside,-0.43224
outweigh,-0.17459
ovarian,-0.01445
overall,-0.16855
overcome,0.11172
overdose,-0.59095
overweight,-0.19292
overwhelming,0.06
oxford,-0.0033
oxygen,0.07681
pace,-0.46689
pack,-0.54484
page,-0.33075
paid,-0.49925
pain,-0.01855
painful,0.02921
painkillers,-0.37014
pakistan,-0.03585
palau,-0.10114
palestinian,-0.10114
panama,-0.10114
pancreas,0.23874
pancreatic,0.23795
panel,-0.27355
paper,-0.15524
papers,-0.289
papua,-0.13369
paraguay,-0.10114
parent,-0.09456
parents,-0.0417
park,-0.10114
parkinson,0.05343
part,-0.15214
partially,-0.54484
participant,-0.02787
participants,-0.0762
participate,-0.22701
participated,-0.89559
participating,-0.11281
particular,-0.47787
particularly,-0.01251
partly,-0.34496
partner,0.47462
partners,0.41569
parts,-0.11826
party,-0.289
pass,0.03182
passed,-0.54716
past,-0.11893
pasta,-0.54484
patch,-0.37014
patches,-0.45874
path,-0.11198
pathway,0.17107
pathways,-0.33075
patient,-0.10055
patients,-0.07242
pattern,-0.11198
patterns,0.24033
paul,-0.23504
pay,-0.5991
pd,0.41454
peanut,-0.01436
peanuts,0.04399
pediatric,-0.11281
pediatrics,-0.34196
peer,-0.36132
penn,-0.67085
pennsylvania,-0.80213
people,-0.13607
per,-0.18714
perceived,0.04399
percent,-0.18372
percentage,-0.17028
perception,0.04399
perfect,0.05639
perfectly,0.41454
perform,-0.12556
performance,0.21114
performed,-0.18574
performing,0.11172
perhaps,-0.12277
period,-0.14324
periods,-0.03264
permanent,-0.54484
permanently,-0.01436
persistent,-0.54484
person,-0.08489
personal,-0.37139
personalized,-0.0033
perspective,0.06
peru,-0.16401
peter,-0.49528
pfizer,-0.03585
ph,-0.01436
pharma,-0.289
pharmaceutical,-0.05186
pharmaceuticals,-0.14365
phase,-0.33372
phd,0.11236
philadelphia,-0.26185
philippines,-0.10114
phone,-0.37139
photo,0.02754
photos,0.23717
physical,-0.00869
physically,-0.06602
physician,-0.11861
physicians,-0.35539
pick,-0.17028
picked,-0.11198
picture,0.11257
pictures,0.41512
piece,-0.59364
pierre,-0.03585
pill,-0.13783
pills,-0.36929
pilot,-0.84911
pitcairn,-0.10114
pittsburgh,-0.11198
place,-0.0464
placebo,-0.22671
placebos,0.11151
placed,-0.3213
places,-0.43657
plan,-0.19556
planned,-0.24428
planning,-0.45874
plans,-0.04726
plant,-0.13436
plants,0.335
plaque,0.35734
plaques,0.17981
plastic,-0.37014
play,-0.13642
played,0.01388
players,-0.54484
playing,0.05343
plays,-0.00755
please,-0.25384
pleasure,-0.01436
plenty,-0.06587
plus,-0.19663
pocket,-0.82393
point,-0.17037
pointed,-0.80213
points,-0.33721
poland,-0.16401
policy,-0.36628
polynesia,-0.10114
poor,-0.06758
poorly,-0.15374
popping,0.23717
popular,-0.20729
popularity,-0.54484
population,-0.12592
populations,-0.39399
portion,-0.28988
portugal,-0.16401
pose,-0.19137
position,-0.73852
positive,-0.28145
possibility,-0.1424
possible,-0.22258
possibly,-0.14365
post,-0.05466
postmenopausal,0.16986
potent,-0.12125
potential,-0.22718
potentially,-0.11501
pounds,-0.29165
powder,-0.19137
power,-0.17459
powerful,-0.42115
powers,0.16986
practice,-0.29463
practiced,0.23717
practices,-0.31231
practitioners,0.28946
pre,0.3206
precise,-0.19189
precision,0.41627
predict,-0.03922
predicted,-0.73852
predicting,0.04399
pregnancies,-0.82393
pregnancy,-0.25938
pregnant,-0.19609
preliminary,-0.17741
premature,-0.24428
prescribe,-0.25471
prescribed,0.02883
prescribing,0.19183
prescription,-0.16059
prescriptions,0.15008
presence,-0.03585
present,-0.00049
presentation,-0.49528
presented,0.06177
presents,0.41512
president,-0.5074
press,-0.01455
pressure,-0.1295
pretty,-0.31831
prevalence,-0.01436
prevent,-0.15854
preventable,0.01388
preventative,0.335
prevented,-0.09456
preventing,-0.41273
prevention,-0.40165
preventive,-0.29617
prevents,-0.22701
previous,-0.24408
previously,-0.07817
price,-0.16947
primarily,-0.37014
primary,-0.27477
prime,0.06
principal,-0.16401
principe,-0.10114
prior,0.02397
privacy,-0.3213
private,0.03664
probably,-0.45531
problem,-0.47101
problematic,-0.3689
problems,-0.09717
procedure,-0.15169
procedures,-0.35327
proceed,-0.21909
process,-0.00102
processed,-0.02787
processes,-0.06617
processing,0.11172
produce,-0.25464
produced,-0.08155
produces,-0.16401
producing,-0.06633
product,-0.42115
production,0.06097
products,-0.43821
prof,0.7851
professional,-0.51535
professionals,-0.14644
professor,-0.1621
profile,-0.09456
profit,-0.3689
profound,-0.70598
progesterone,-0.01436
program,-0.22262
programs,-0.39814
progress,-0.16947
progressed,-0.289
progresses,0.41454
progression,0.09512
progressive,-0.33075
project,0.07067
prolonged,-0.49528
promise,-0.04726
promising,-0.23578
promote,-0.26812
promoting,-0.15374
prompt,-0.29076
prompted,-0.73852
proof,-0.15064
proper,-0.22701
properly,-0.01445
properties,-0.52197
proportion,-0.25955
proposed,-0.19189
prospect,-0.01436
prostate,-0.20665
protect,-0.24225
protected,-0.01436
protecting,-0.43657
protection,-0.29254
protective,-0.55187
protein,-0.08304
proteins,-0.25342
protocol,-0.59095
protocols,-0.19137
prove,-0.33942
proved,-0.08295
proven,-0.12825
provide,-0.33778
provided,-0.30715
provider,-0.63271
providers,-0.12125
provides,-0.28298
providing,-0.23504
proving,-0.02787
prozac,-0.06587
psa,-0.19137
psychiatric,-0.1924
psychiatrist,-0.63576
psychiatrists,-0.06587
psychiatry,0.02714
psychological,-0.04114
psychologist,-0.19137
psychology,0.34781
psychotherapy,0.16986
public,-0.3089
publication,-0.46689
publish,0.04399
published,-0.20869
puerto,-0.16401
pull,-0.33075
pulled,-0.15374
pulmonary,-0.02787
pulse,-0.25955
pulses,-0.24288
pump,0.2677
purpose,-0.15374
purposes,-0.24288
push,-0.54716
pushed,-0.67085
pushing,-0.10114
put,-0.25432
puts,-0.02229
putting,-0.04114
qatar,-0.10114
quality,-0.09421
quarter,0.04454
quarters,0.04399
question,-0.21272
questionnaire,-0.19137
questionnaires,0.11172
questions,-0.21272
quick,0.17107
quicker,0.49466
quickly,-0.26987
quit,-0.21909
quite,-0.13433
race,-0.11198
radiation,-0.03155
radiology,0.11172
raise,-0.16573
raised,-0.10671
raises,-0.29076
ran,0.11214
randomized,-0.49286
randomly,-0.49286
range,-0.19993
ranged,0.11151
ranging,0.22679
rapid,-0.52197
rapidly,-0.571
rare,-0.05674
rarely,-0.09456
rate,-0.07023
rated,-0.19137
rates,-0.29848
rather,0.018
rats,-0.15374
raw,-0.289
ray,-0.04114
re,-0.12042
reach,-0.19502
reached,-0.17459
reaching,-0.63271
reaction,-0.22893
reactions,-0.17459
read,0.03084
readily,-0.15374
reading,-0.69237
ready,-0.27745
real,-0.34791
reality,-0.17028
realize,-0.84911
realized,-0.43657
really,-0.15957
reason,-0.08131
reasonable,-0.21909
reasons,-0.29344
reassuring,0.01388
recall,-0.67085
recalled,-0.06617
recalls,-0.31827
receive,-0.19604
received,-0.24788
receiving,-0.17154
recent,-0.37218
recently,-0.38306
receptor,-0.38949
recognize,-0.02229
recognized,-0.06587
recommend,-0.35907
recommendation,-0.45874
recommendations,-0.28048
recommended,-0.34226
recommending,-0.43657
recommends,-0.50126
record,-0.24428
recorded,0.06
records,-0.40402
recover,-0.15374
recovery,-0.06663
recreational,-0.289
recruited,0.22956
recurrence,-0.26812
recurrent,0.20935
red,-0.18574
reduce,-0.08366
reduced,-0.04631
reduces,-0.25938
reducing,-0.09808
reduction,-0.25451
reductions,-0.47841
referred,-0.03585
referring,0.11151
reflect,-0.43657
reflects,-0.19137
regain,-0.33075
regarding,-0.15374
regardless,-0.01445
regimen,-0.15493
region,-0.01445
regions,-0.02787
registry,-0.06587
regular,-0.17269
regularly,0.08873
regulate,-0.52197
regulated,-0.59095
regulation,-0.06602
regulators,-0.09456
regulatory,-0.06602
rehabilitation,-0.43657
relapse,-0.46689
relapsed,-0.24288
related,-0.10484
relationship,-0.05466
relationships,-0.19189
relative,-0.21909
relatively,0.10594
release,0.32321
released,-0.09148
relevant,-0.02787
reliable,-0.06633
relief,-0.18279
relieve,0.1723
reluctant,-0.63271
rely,-0.0033
relying,-0.19137
remain,-0.46402
remained,-0.3213
remaining,-0.43657
remains,-0.12558
remarkable,0.01394
remedies,-0.33075
remember,0.15173
remission,-0.53275
removal,-0.21909
remove,-0.14186
removed,-0.24469
removing,-0.04493
repair,-0.11281
repeat,-0.34496
repeated,-0.33288
repeatedly,-0.19137
replace,-0.06648
replaced,-0.67085
replacement,0.25148
replacing,-0.19137
replicate,0.335
report,-0.38866
reported,-0.20277
reporter,-0.73718
reporting,-0.24288
reports,0.00734
represent,-0.34496
represents,-0.52197
reproductive,-0.06602
republic,-0.03585
require,-0.38612
required,-0.16059
requires,-0.23451
requiring,-0.59095
rescue,-0.289
research,-0.12857
researcher,-0.33313
researchers,-0.13737
resident,-0.289
resistance,0.38663
resistant,-0.01455
resources,-0.15374
respectively,-0.02787
respiratory,-0.09017
respond,-0.19663
responded,-0.63576
responding,-0.289
response,0.01785
responses,-0.00755
responsible,0.113
rest,-0.12277
restaurant,-0.54484
restore,-0.06602
result,-0.03236
resulted,-0.22701
resulting,0.05343
results,-0.21721
retired,-0.79724
return,-0.03922
returned,-0.39399
returns,-0.19137
reunion,-0.10114
reuters,0.03192
reveal,-0.03585
revealed,0.30122
reverse,-0.19292
reversed,-0.16401
review,-0.39438
reviewed,-0.20596
reviewing,-0.70598
reviews,-0.63271
reward,-0.06587
rhythm,-0.06587
rica,-0.0033
rice,-0.33075
rich,-0.5495
richard,-0.21153
rico,-0.16401
rid,0.01388
right,-0.13367
rights,-0.01436
rigorous,-0.37139
rise,-0.10671
rises,-0.01436
risk,-0.18246
risks,-0.34859
risky,-0.89559
road,-0.82393
robert,-0.23451
robust,-0.15374
roche,-0.06587
rochester,-0.22701
rodents,-0.19137
roger,-0.19137
role,-0.34602
romania,-0.10114
ron,-0.54484
room,0.08567
root,-0.02787
rose,0.25971
roughly,-0.29344
rounds,-0.11198
routine,-0.19449
routinely,-0.06602
royal,0.37073
rule,0.04399
run,-0.25002
running,0.04983
runs,-0.21909
rush,-0.19189
russian,-0.1924
rwanda,-0.13369
safe,-0.47632
safely,-0.70976
safer,-0.31827
safety,-0.19144
sahara,-0.10114
said,-0.05733
saint,-0.04114
sale,-0.24288
sales,0.014
saliva,0.23717
salt,-0.289
salvador,-0.10114
samoa,-0.10114
sample,-0.08737
samples,-0.03625
san,-0.60274
sanofi,-0.63271
sao,-0.10114
saturday,0.04399
saudi,-0.10114
save,-0.43224
saved,-0.41662
saw,-0.157
say,-0.16609
saying,-0.18419
says,-0.19203
scale,-0.08737
scan,0.07138
scans,0.30775
schedule,-0.21909
scheduled,-0.63576
school,-0.37169
schools,-0.15374
science,-0.20357
sciences,-0.43224
scientific,-0.36488
scientist,-0.42847
scientists,-0.03551
sclerosis,-0.21909
score,-0.21447
scored,-0.63271
scores,0.02224
scott,-0.45874
screen,0.15512
screened,-0.19397
screening,-0.04726
screenings,0.49466
search,-0.52197
searching,0.23717
season,0.01388
seattle,-0.571
second,-0.13842
secondary,-0.43657
seconds,-0.59364
security,-0.29076
see,-0.17702
seeing,-0.61096
seek,-0.63576
seeking,-0.30904
seem,-0.36064
seemed,-0.13642
seems,-0.18837
seen,-0.1638
sees,-0.19137
seizure,-0.73852
seizures,-0.49528
select,-0.30715
selected,-0.289
self,-0.40979
sell,-0.22701
selling,-0.06602
sells,-0.67085
send,-0.24428
sending,0.23795
sends,-0.06602
senegal,-0.10114
senior,-0.16929
sensation,-0.19137
sense,-0.17025
sensitive,0.02397
sensitivity,0.19284
sent,-0.14833
separate,-0.58127
sept,-0.06587
september,-0.49726
serbia,-0.10114
series,-0.04779
serious,-0.33361
seriously,-0.289
serotonin,-0.11198
served,-0.31827
serves,-0.19137
service,-0.25938
services,-0.72614
serving,-0.11198
servings,-0.40402
session,-0.04493
sessions,-0.7136
set,-0.02055
sets,0.41512
setting,0.04454
settings,-0.02787
seven,-0.16929
several,-0.19318
severe,-0.01877
severely,-0.82393
severity,-0.29165
sex,-0.10213
sexual,0.08567
sexually,-0.289
seychelles,-0.10114
sham,-0.49528
shape,-0.16401
shaped,-0.70598
share,-0.34196
shares,0.54192
shed,-0.289
shift,-0.21153
shore,-0.11198
short,-0.3409
shorter,0.03182
shortly,-0.19137
shot,-0.97623
shots,-0.52197
shoulder,-0.19137
shouldn,-0.67427
show,-0.04314
showed,-0.08994
showing,-0.15381
shown,-0.24408
shows,-0.14906
shrink,-0.67085
sick,-0.47841
side,-0.27024
sierra,-0.16401
sign,-0.14956
signal,-0.1924
signals,-0.21153
signed,-0.01436
significant,-0.04948
significantly,-0.19245
signs,-0.07878
similar,-0.36852
similarly,-0.289
simple,-0.0761
simply,-0.33503
sinai,-0.21447
since,-0.22817
singapore,-0.03585
single,-0.18186
sit,-0.31827
site,-0.27355
sites,-0.19189
sitting,0.21796
situation,-0.63576
situations,-0.01436
six,-0.20277
size,-0.06822
skeptical,-0.03585
skepticism,-0.54484
